EpRewMean,EpThisIter,TimestepsSoFar,EpisodesSoFar,surrgain,optimgain,TimeElapsed,meankl,entloss,ev_tdlam_before,entropy,EpLenMean
118.35,3,528277,6233,0.18112785,0.18112785,1180.900456905365,0.0040947264,0.0,0.8528160005807877,37.54797,118.35
118.35,5,528860,6238,0.18257506,0.18257506,1181.7461791038513,0.003906647,0.0,0.7872544080018997,37.550533,118.35
116.675,4,529301,6242,0.20480861,0.20480861,1182.6466341018677,0.004051937,0.0,0.8762570843100548,37.55516,116.675
118.625,4,529869,6246,0.18449734,0.18449734,1183.5843262672424,0.004637583,0.0,0.7995855063199997,37.561718,118.625
118.55,4,530383,6250,0.1687863,0.1687863,1184.696652173996,0.0044754716,0.0,0.8476461172103882,37.563526,118.55
120.15,4,530887,6254,0.22890791,0.22890791,1185.51584815979,0.0047788937,0.0,0.7581018656492233,37.558598,120.15
125.025,4,531519,6258,0.34029537,0.34029537,1186.3415322303772,0.014824835,0.0,0.6250060498714447,37.56365,125.025
126.95,4,532067,6262,0.1804253,0.1804253,1187.2186870574951,0.0038427166,0.0,0.7805565297603607,37.570393,126.95
130.05,4,532610,6266,0.1780561,0.1780561,1188.171228170395,0.0044470318,0.0,0.4607912302017212,37.57649,130.05
133.725,3,533108,6269,0.18217538,0.18217538,1188.9694793224335,0.0046061417,0.0,0.15558773279190063,37.57893,133.725
134.45,5,533780,6274,0.17242491,0.17242491,1189.8265430927277,0.004047792,0.0,0.6357944905757904,37.575436,134.45
134.65,4,534246,6278,0.17120919,0.17120919,1191.3584702014923,0.003966455,0.0,0.663020133972168,37.567135,134.65
135.35,4,534715,6282,0.17355591,0.17355591,1192.588227033615,0.0040248083,0.0,0.8460702747106552,37.559437,135.35
131.075,4,535112,6286,0.2024107,0.2024107,1193.5954382419586,0.00498941,0.0,0.7612034380435944,37.555737,131.075
131.45,4,535641,6290,0.17974667,0.17974667,1194.5585532188416,0.004341384,0.0,0.813477173447609,37.560005,131.45
129.7,5,536189,6295,0.19141555,0.19141555,1195.5002090930939,0.0044429963,0.0,0.8758369460701942,37.55627,129.7
125.025,5,536768,6300,0.18974894,0.18974894,1196.431363105774,0.0044183442,0.0,0.4141201972961426,37.551647,125.025
122.0,4,537236,6304,0.18234721,0.18234721,1197.5315840244293,0.0048053106,0.0,0.7917556464672089,37.55299,122.0
119.975,4,537720,6308,0.17929155,0.17929155,1198.5137910842896,0.003903644,0.0,0.8874673619866371,37.549072,119.975
120.15,3,538234,6311,0.20469038,0.20469038,1199.6241202354431,0.0045380173,0.0,0.766234427690506,37.551464,120.15
